raw_name,source,suggested_canonical,other_names
Paratek Ireland Limited,epar_mah,Paratek,NA
Pari Pharma GmbH,epar_mah,Pari Pharma,Acino Pharma GmbH | PAION Pharma GmbH | Paion Pharma GmbH | Pinax Pharma GmbH | Axunio Pharma GmbH | Axxonis Pharma AG
Parnell Technologies (UK) Limited,epar_mah,Parnell Technologies,NA
Partner Therapeutics Limited,epar_mah,Partner,NA
Passauer Pharma GmbH,epar_mah,Passauer Pharma,NA
Pharm Research Associates (UK) Limited,epar_mah,Pharm Research Associates,NA
H.A.C. Pharma,epar_mah,Pharma,1 A Pharma GmbH | pharmaand GmbH | Pharmaxis Europe Limited | Pharma Mar S.A. | Pharmathen S.A.
Pharmacia Europe EEIG,epar_mah,Pharmacia Eeig,Pharmacia - Pfizer EEIG
PharmaSwiss Ceska Republika s.r.o,epar_mah,Pharmaswiss Ceska Republika,NA
Pharming Group N.V.,epar_mah,Pharming Group,NA
Pharming Technologies B.V.,epar_mah,Pharming Technologies,NA
Pharmion Ltd.,epar_mah,Pharmion,NA
Philogen S.p.A.,epar_mah,Philogen,NA
Phoenix Labs Unlimited Company,epar_mah,Phoenix Labs Unlimited,NA
Photonamic GmbH & Co. KG,epar_mah,Photonamic Gmbh And,NA
Pinnacle Biologics B.V. ,epar_mah,Pinnacle Biologics,NA
Piramal Critical Care B.V.,epar_mah,Piramal Critical Care,NA
Plethora Pharma Solutions Limited,epar_mah,Plethora Pharma Solutions,NA
Plusultra pharma GmbH,epar_mah,Plusultra Pharma,NA
Portola Pharma UK Limited,epar_mah,Portola Pharma,NA
Prestige Biopharma Belgium,epar_mah,Prestige Biopharma,NA
Prevtec Microbia GmbH,epar_mah,Prevtec Microbia,NA
Prilenia Therapeutics B.V.,epar_mah,Prilenia,NA
Protherics PLC,epar_mah,Protherics,NA
Provepharm SAS,epar_mah,Provepharm,Proveca Pharma Limited
PTC Therapeutics International Limited,epar_mah,Ptc,NA
Purpose Pharma International AB,epar_mah,Purpose Pharma,NA
Qilu Pharma Spain S.L.,epar_mah,Qilu Pharma,NA
Qualimed,epar_mah,Qualimed,NA
RAD Neurim Pharmaceuticals EEC SARL,epar_mah,Rad Neurim Eec Sarl,NA
I.D.B. Radiopharmacy B.V.,epar_mah,Radiopharmacy,NA
Radius Health Ireland Ltd,epar_mah,Radius Health,NA
Rare Thyroid Therapeutics International AB,epar_mah,Rare Thyroid,NA
ratiopharm GmbH,epar_mah,Ratiopharm,Ratiopharm GmbH
Rayner Surgical (Ireland) Limited,epar_mah,Rayner Surgical,NA
Reata Ireland Limited,epar_mah,Reata,Crealta Pharmaceuticals Ireland Limited
Rechon Life Science AB,epar_mah,Rechon Life Science,NA
Recordati Ireland Ltd,epar_mah,Recordati,Recordati Ireland Ltd. | Recordati Netherlands B.V.
Recordati Industria Chimica e Farmaceutica S.p.A.,epar_mah,Recordati Industria Chimica Farmaceutica,NA
Recordati Rare Diseases,epar_mah,Recordati Rare Diseases,NA
Reddy Holding GmbH,epar_mah,Reddy Holding,NA
Regulatory Pharma Net S.r.l.,epar_mah,Regulatory Pharma Net,NA
Reliance GeneMedix Plc,epar_mah,Reliance Genemedix,NA
Renable Pharma Limited,epar_mah,Renable Pharma,NA
Repligen Europe Limited,epar_mah,Repligen,NA
Resilience Biomanufacturing Ireland Limited,epar_mah,Resilience Biomanufacturing,NA
Retrophin Europe Ltd,epar_mah,Retrophin,NA
Rhythm Pharmaceuticals Netherlands B.V.,epar_mah,Rhythm,NA
Richen Europe S.R.L,epar_mah,Richen,NA
Rilonacept FGK Representative Service GmbH,epar_mah,Rilonacept Fgk Representative Service,NA
Rocket Pharmaceuticals B.V.,epar_mah,Rocket,NA
Rotterdam Biologics B.V.,epar_mah,Rotterdam Biologics,NA
Samsung Bioepis NL B.V.,epar_mah,Samsung Bioepis Nl,NA
Sanquin Plasma Products B.V.,epar_mah,Sanquin Plasma Products,NA
Santen Oy,epar_mah,Santen,NA
Santhera Pharmaceuticals (Deutschland) GmbH,epar_mah,Santhera Deutschland,NA
Sciencepharma Sp. z o.o,epar_mah,Sciencepharma Sp,NA
SciPharm Sàrl,epar_mah,Scipharm Sarl,NA
Secura Bio Limited,epar_mah,Secura Bio,NA
Sepracor Ltd.,epar_mah,Sepracor,NA
Seqirus GmbH,epar_mah,Seqirus,Seqirus S.r.l.  | Seqirus Netherlands B.V.
SERB SA,epar_mah,Serb,SERB SAS
Serono Europe Limited,epar_mah,Serono,NA
